n,divAndConTime,bruteForceTime
295,0.020934399999532616,0.2173454000003403
296,0.026605800001561875,0.21767180000097142
297,0.021989299999404466,0.21745399999781512
298,0.024523199997929623,0.21502320000217878
299,0.022512499999720603,0.22426569999879575
300,0.0291283000005933,0.2139102000001003
301,0.02333879999787314,0.2423702999985835
302,0.022413199996663025,0.2166921000025468
303,0.021883599998545833,0.2253603999997722
304,0.022971200000029057,0.2148499000031734
305,0.02050500000041211,0.22552929999801563
306,0.023223500000312924,0.21692089999851305
307,0.02314479999768082,0.211514000002353
308,0.029313700000784593,0.21741130000009434
309,0.019390100002055988,0.219894399997429
310,0.024696299999050098,0.22364219999872148
311,0.02405440000075032,0.21997380000175326
312,0.02884319999793661,0.24698560000251746
313,0.025427500000660075,0.2347473000008904
314,0.02249170000141021,0.24309740000171587
315,0.024812899999233196,0.23587339999721735
316,0.02534639999794308,0.24650389999806066
317,0.025538300000334857,0.25019049999900744
318,0.018974799997522496,0.2333494000013161
319,0.027126199998747325,0.24936840000009397
320,0.02476389999719686,0.23599649999960093
321,0.02891720000116038,0.24060480000116513
322,0.029629900000145426,0.24618399999963003
323,0.024938800001109485,0.2384258999991289
324,0.031133100001170533,0.26629160000084084
325,0.025207200000295416,0.301439399998344
326,0.023453699999663513,0.2526453999998921
327,0.02914740000051097,0.3129631999981939
328,0.025381999999808613,0.266179900001589
329,0.023748899999191053,0.2686747000007017
330,0.023428200001944788,0.28696560000025784
331,0.032671400000253925,0.2511004999978468
332,0.026097099998878548,0.2524219000006269
333,0.02880869999717106,0.2774667999983649
334,0.027938799998082686,0.2731534999984433
335,0.03140910000001895,0.27798449999681907
336,0.027576699998462573,0.2729868999995233
337,0.028091899999708403,0.3281416999998328
338,0.03543509999872185,0.27371490000223275
339,0.034236600000440376,0.31431420000080834
340,0.029318600001715822,0.3037481999999727
341,0.032173200001125224,0.3241420999984257
342,0.02969189999930677,0.3011363999976311
343,0.030136100001982413,0.29355589999977383
344,0.02972349999981816,0.2885354999998526
345,0.034318999998504296,0.27663380000012694
346,0.028565399999934016,0.2876117999985581
347,0.02928240000255755,0.2923503999991226
348,0.028691999999864493,0.28552659999695607
349,0.029611400001158472,0.31400310000026366
350,0.03008909999698517,0.2783291999985522
351,0.034768800000165356,0.3064193999998679
352,0.030834699999104487,0.3097240999995847
353,0.02590520000012475,0.3021109000001161
354,0.027807599999505328,0.3065935999984504
355,0.029497699997591553,0.3162880999989284
356,0.02907989999948768,0.3125078000011854
357,0.03394699999989825,0.3028924999998708
358,0.026667299996915972,0.2941289999980654
359,0.025206900001649046,0.3058380999973451
360,0.03734760000224924,0.29988260000027367
361,0.03063990000009653,0.31759909999891534
362,0.03344480000305339,0.31920499999978347
363,0.04017709999970975,0.33127719999902183
364,0.03247399999963818,0.32043369999883
365,0.03488239999933285,0.30923100000291015
366,0.02810970000064117,0.31491160000223317
367,0.03202709999823128,0.3153351000000839
368,0.036315499997726874,0.3063287000004493
369,0.033713900000293506,0.31499069999699714
370,0.02925419999883161,0.3164939999987837
371,0.038325800000166055,0.3302205999971193
372,0.03696689999924274,0.31867760000022827
373,0.032095999999000924,0.31500380000215955
374,0.03267790000245441,0.3218823999995948
375,0.03539689999888651,0.33171389999915846
376,0.03118000000176835,0.3334938999978476
377,0.04023620000225492,0.33553370000299765
378,0.03741400000217254,0.37844699999914155
379,0.035141500000463566,0.3515878000034718
380,0.033049800000299,0.34231979999822215
381,0.03280549999908544,0.3507705000010901
382,0.028984900000068592,0.3353408999973908
383,0.03132880000339355,0.34494220000124187
384,0.0352643000005628,0.34773130000030505
385,0.042961600000126055,0.36551870000039344
386,0.03986269999950309,0.3660424999980023
387,0.03805590000047232,0.3669346000024234
388,0.03152550000231713,0.37804640000103973
389,0.034776000000420026,0.3791339000017615
390,0.03166860000055749,0.37066820000109146
391,0.03529980000166688,0.37018519999764976
392,0.0474625000024389,0.3524905999984185
393,0.03225310000198078,0.3630052999978943
394,0.046256600002379855,0.37050550000276417
395,0.03571880000163219,0.39543500000218046
396,0.0352885000029346,0.3798486999985471
397,0.04051749999780441,0.42509720000089146
398,0.031049999997776467,0.3832843000018329
399,0.04818169999998645,0.3863877000003413
400,0.03935469999851193,0.3800040000023728
401,0.04518129999996745,0.4024777000013273
402,0.04723379999995814,0.37664349999977276
403,0.03657229999953415,0.39098720000038156
404,0.03831799999898067,0.3774922999982664
405,0.03419219999705092,0.3695095999974001
406,0.034226700001454446,0.3886673000015435
407,0.031248399998730747,0.392955899998924
408,0.03983469999730005,0.39152150000154506
409,0.04567780000070343,0.4083319000019401
410,0.0396909000010055,0.40434779999850434
411,0.040021500000875676,0.43583379999836325
412,0.038901300002180506,0.4095497999987856
413,0.054565400001592934,0.40762829999948735
414,0.03885440000158269,0.3947310000003199
415,0.03914240000085556,0.4088774000010744
416,0.043943500000750646,0.4350845999979356
417,0.03967969999939669,0.3900822000032349
418,0.04656099999920116,0.40136559999882593
419,0.0420921000004455,0.4234230000001844
